,image_name,class
0,A_005fbfn6.png,1
1,A_0060ug9j.png,1
2,A_00el4hwr.png,0
3,A_00h6ucsm.png,1
4,A_00hzao5p.png,0
5,A_00jghend.png,1
6,A_00kj5fih.png,1
7,A_00ww8c88.png,1
8,A_0102obzc.png,1
9,A_012n784o.png,0
10,A_014yzlf7.png,1
11,A_016d3o4o.png,1
12,A_01cays4r.png,1
13,A_01heykmf.png,1
14,A_01hr8c4e.png,1
15,A_01oi53jf.png,1
16,A_01ot0si0.png,0
17,A_01s09w01.png,0
18,A_01woq17a.png,0
19,A_01yfhcu3.png,1
20,A_022zjg92.png,0
21,A_024brpvd.png,1
22,A_02rbamyc.png,0
23,A_02uzm375.png,1
24,A_032su8l9.png,1
25,A_036icyb3.png,1
26,A_03dtmhv5.png,1
27,A_03f0n5yi.png,1
28,A_03imw2bi.png,1
29,A_03kz0gfx.png,0
30,A_03uyowrq.png,1
31,A_045d4je5.png,0
32,A_0488lkxh.png,1
33,A_04h0ah4l.png,0
34,A_04jgnt3q.png,1
35,A_05a3f9pb.png,1
36,A_05eeercw.png,1
37,A_05ei6j6q.png,1
38,A_05hmrwwd.png,1
39,A_05mn2ppb.png,1
40,A_05n9gwxr.png,1
41,A_05r360ki.png,1
42,A_05xkm5u1.png,1
43,A_05zjma5u.png,1
44,A_066p2v30.png,1
45,A_069wnb1n.png,1
46,A_06j8la9r.png,1
47,A_06u5bp17.png,1
48,A_06z997qo.png,0
49,A_0746ox5y.png,0
50,A_07dgur0k.png,0
51,A_07j4v75l.png,1
52,A_07tfam2n.png,1
53,A_07wll4si.png,1
54,A_083bu9o5.png,0
55,A_087i9w1e.png,1
56,A_08ni4z55.png,1
57,A_08pnh39e.png,1
58,A_0954gkay.png,0
59,A_09g39yfm.png,1
60,A_09ghirk3.png,1
61,A_09mt9jga.png,0
62,A_09nol2m8.png,0
63,A_09qkex0s.png,1
64,A_0a33svh8.png,1
65,A_0a89cyj3.png,1
66,A_0a94cjsc.png,1
67,A_0ac7hsjk.png,1
68,A_0afiedt2.png,0
69,A_0agjt55m.png,1
70,A_0ahk846o.png,1
71,A_0aukebye.png,1
72,A_0awvlazv.png,1
73,A_0azgaxef.png,1
74,A_0b8k5wgc.png,1
75,A_0b9rjkbe.png,1
76,A_0bbm37tv.png,0
77,A_0bd9xo78.png,1
78,A_0bn38lcd.png,1
79,A_0bwv6t5w.png,1
80,A_0c6hukmh.png,0
81,A_0cbf103r.png,1
82,A_0ccbskye.png,0
83,A_0cdrtlsg.png,1
84,A_0ch81tyx.png,1
85,A_0cj49psx.png,1
86,A_0cjnwhpt.png,0
87,A_0clte66r.png,0
88,A_0cnez6gr.png,0
89,A_0cop5bmq.png,1
90,A_0cq7ganq.png,1
91,A_0d2nv4ey.png,1
92,A_0d5fx5qh.png,1
93,A_0d5n1qwe.png,0
94,A_0ddd2b66.png,1
95,A_0dows3dr.png,1
96,A_0dqf7i9x.png,1
97,A_0e7er1vg.png,1
98,A_0efhj9yx.png,0
99,A_0etwloqr.png,1
